hs	1	ENSG00000121410
hs	2	ENSG00000175899
hs	3	ENSG00000256069
hs	9	ENSG00000171428
hs	10	ENSG00000156006
hs	12	ENSG00000196136
hs	13	ENSG00000114771
hs	14	ENSG00000127837
hs	15	ENSG00000129673
hs	16	ENSG00000090861
hs	18	ENSG00000183044
hs	19	ENSG00000165029
hs	20	ENSG00000107331
hs	21	ENSG00000167972
hs	22	ENSG00000131269
hs	23	ENSG00000204574
hs	24	ENSG00000198691
hs	25	ENSG00000097007
hs	26	ENSG00000002726
hs	27	ENSG00000143322
hs	28	ENSG00000175164
hs	29	ENSG00000159842
hs	30	ENSG00000060971
hs	31	ENSG00000278540
hs	32	ENSG00000076555
hs	33	ENSG00000115361
hs	34	ENSG00000117054
hs	35	ENSG00000122971
hs	36	ENSG00000196177
hs	37	ENSG00000072778
hs	38	ENSG00000075239
hs	39	ENSG00000120437
hs	40	ENSG00000108684
hs	41	ENSG00000110881
hs	43	ENSG00000087085
hs	47	ENSG00000131473
hs	48	ENSG00000122729
hs	49	ENSG00000100312
hs	50	ENSG00000100412
hs	51	ENSG00000161533
hs	52	ENSG00000143727
hs	53	ENSG00000134575
hs	54	ENSG00000102575
hs	55	ENSG00000014257
hs	56	ENSG00000134940
hs	58	ENSG00000143632
hs	59	ENSG00000107796
hs	60	ENSG00000075624
hs	70	ENSG00000159251
hs	71	ENSG00000184009
hs	72	ENSG00000163017
hs	81	ENSG00000130402
hs	86	ENSG00000136518
hs	87	ENSG00000072110
hs	88	ENSG00000077522
hs	89	ENSG00000248746
hs	90	ENSG00000115170
hs	91	ENSG00000135503
hs	92	ENSG00000121989
hs	93	ENSG00000114739
hs	94	ENSG00000139567
hs	95	ENSG00000243989
hs	97	ENSG00000119640
hs	98	ENSG00000170634
hs	100	ENSG00000196839
hs	101	ENSG00000151651
hs	102	ENSG00000137845
hs	103	ENSG00000160710
hs	104	ENSG00000197381
hs	105	ENSG00000185736
hs	107	ENSG00000164742
hs	108	ENSG00000078295
hs	109	ENSG00000138031
hs	111	ENSG00000173175
hs	112	ENSG00000174233
hs	113	ENSG00000121281
hs	114	ENSG00000155897
hs	115	ENSG00000162104
hs	116	ENSG00000141433
hs	117	ENSG00000078549
hs	118	ENSG00000087274
hs	119	ENSG00000075340
hs	120	ENSG00000148700
hs	123	ENSG00000147872
hs	124	ENSG00000187758
hs	125	ENSG00000196616
hs	126	ENSG00000248144
hs	127	ENSG00000198099
hs	128	ENSG00000197894
hs	130	ENSG00000172955
hs	131	ENSG00000196344
hs	132	ENSG00000156110
hs	133	ENSG00000148926
hs	134	ENSG00000163485
hs	135	ENSG00000128271
hs	136	ENSG00000170425
hs	140	ENSG00000282608
hs	141	ENSG00000144843
hs	142	ENSG00000143799
hs	143	ENSG00000102699
hs	146	ENSG00000171873
hs	147	ENSG00000170214
hs	148	ENSG00000120907
hs	150	ENSG00000150594
hs	151	ENSG00000274286
hs	152	ENSG00000184160
hs	153	ENSG00000043591
hs	154	ENSG00000169252
hs	155	ENSG00000188778
hs	156	ENSG00000173020
hs	157	ENSG00000100077
hs	158	ENSG00000239900
hs	159	ENSG00000035687
hs	160	ENSG00000196961
hs	161	ENSG00000183020
hs	162	ENSG00000100280
hs	163	ENSG00000006125
hs	164	ENSG00000166747
hs	165	ENSG00000106624
hs	166	ENSG00000104964
hs	167	ENSG00000124812
hs	172	ENSG00000223959
hs	173	ENSG00000079557
hs	174	ENSG00000081051
hs	175	ENSG00000038002
hs	176	ENSG00000157766
hs	177	ENSG00000204305
hs	178	ENSG00000162688
hs	181	ENSG00000159723
hs	182	ENSG00000101384
hs	183	ENSG00000135744
hs	185	ENSG00000144891
hs	186	ENSG00000180772
hs	187	ENSG00000134817
hs	189	ENSG00000172482
hs	190	ENSG00000169297
hs	191	ENSG00000101444
hs	196	ENSG00000106546
hs	197	ENSG00000145192
hs	199	ENSG00000204472
hs	202	ENSG00000112297
hs	203	ENSG00000106992
hs	204	ENSG00000004455
hs	205	ENSG00000162433
hs	207	ENSG00000142208
hs	208	ENSG00000105221
