hs	1	A1BG
hs	2	A2M
hs	3	A2MP1
hs	9	NAT1
hs	10	NAT2
hs	11	NATP
hs	12	SERPINA3
hs	13	AADAC
hs	14	AAMP
hs	15	AANAT
hs	16	AARS
hs	17	AAVS1
hs	18	ABAT
hs	19	ABCA1
hs	20	ABCA2
hs	21	ABCA3
hs	22	ABCB7
hs	23	ABCF1
hs	24	ABCA4
hs	25	ABL1
hs	26	AOC1
hs	27	ABL2
hs	28	ABO
hs	29	ABR
hs	30	ACAA1
hs	31	ACACA
hs	32	ACACB
hs	33	ACADL
hs	34	ACADM
hs	35	ACADS
hs	36	ACADSB
hs	37	ACADVL
hs	38	ACAT1
hs	39	ACAT2
hs	40	ASIC2
hs	41	ASIC1
hs	43	ACHE
hs	46	ACLS
hs	47	ACLY
hs	48	ACO1
hs	49	ACR
hs	50	ACO2
hs	51	ACOX1
hs	52	ACP1
hs	53	ACP2
hs	54	ACP5
hs	55	ACPP
hs	56	ACRV1
hs	58	ACTA1
hs	59	ACTA2
hs	60	ACTB
hs	62	ACTBP2
hs	63	ACTBP3
hs	64	ACTBP4
hs	66	ACTBP6
hs	67	ACTBP7
hs	68	ACTBP8
hs	69	ACTBP9
hs	70	ACTC1
hs	71	ACTG1
hs	72	ACTG2
hs	73	ACTG1P1
hs	74	ACTG1P2
hs	75	ACTG1P3
hs	78	ACTG1P6
hs	79	ACTG1P7
hs	80	ACTG1P8
hs	81	ACTN4
hs	82	ACTG1P9
hs	83	ACTG1P10
hs	86	ACTL6A
hs	87	ACTN1
hs	88	ACTN2
hs	89	ACTN3
hs	90	ACVR1
hs	91	ACVR1B
hs	92	ACVR2A
hs	93	ACVR2B
hs	94	ACVRL1
hs	95	ACY1
hs	97	ACYP1
hs	98	ACYP2
hs	100	ADA
hs	101	ADAM8
hs	102	ADAM10
hs	103	ADAR
hs	104	ADARB1
hs	105	ADARB2
hs	106	ADCP1
hs	107	ADCY1
hs	108	ADCY2
hs	109	ADCY3
hs	111	ADCY5
hs	112	ADCY6
hs	113	ADCY7
hs	114	ADCY8
hs	115	ADCY9
hs	116	ADCYAP1
hs	117	ADCYAP1R1
hs	118	ADD1
hs	119	ADD2
hs	120	ADD3
hs	122	ADFN
hs	123	PLIN2
hs	124	ADH1A
hs	125	ADH1B
hs	126	ADH1C
hs	127	ADH4
hs	128	ADH5
hs	130	ADH6
hs	131	ADH7
hs	132	ADK
hs	133	ADM
hs	134	ADORA1
hs	135	ADORA2A
hs	136	ADORA2B
hs	137	ADORA2BP1
hs	140	ADORA3
hs	141	ADPRH
hs	142	PARP1
hs	143	PARP4
hs	144	PARP1P1
hs	145	PARP1P2
hs	146	ADRA1D
hs	147	ADRA1B
hs	148	ADRA1A
hs	150	ADRA2A
hs	151	ADRA2B
hs	152	ADRA2C
hs	153	ADRB1
hs	154	ADRB2
hs	155	ADRB3
hs	156	GRK2
hs	157	GRK3
hs	158	ADSL
hs	159	ADSS
hs	160	AP2A1
hs	161	AP2A2
hs	162	AP1B1
hs	163	AP2B1
hs	164	AP1G1
hs	165	AEBP1
hs	166	TLE5
hs	167	CRISP1
hs	169	AF8T
hs	170	AFA
hs	171	AFD1
hs	172	AFG3L1P
hs	173	AFM
hs	174	AFP
hs	175	AGA
hs	176	ACAN
hs	177	AGER
hs	178	AGL
hs	179	AGMX2
hs	181	AGRP
hs	182	JAG1
hs	183	AGT
hs	185	AGTR1
hs	186	AGTR2
hs	187	APLNR
hs	189	AGXT
hs	190	NR0B1
hs	191	AHCY
hs	192	AIC
hs	196	AHR
hs	197	AHSG
hs	199	AIF1
hs	201	AIH3
hs	202	CRYBG1
hs	203	AK1
hs	204	AK2
hs	205	AK4
hs	206	AK4P1
hs	207	AKT1
hs	208	AKT2
hs	210	ALAD
hs	211	ALAS1
hs	212	ALAS2
hs	213	ALB
hs	214	ALCAM
hs	215	ABCD1
hs	216	ALDH1A1
hs	217	ALDH2
hs	218	ALDH3A1
hs	219	ALDH1B1
hs	220	ALDH1A3
hs	221	ALDH3B1
hs	222	ALDH3B2
hs	223	ALDH9A1
hs	224	ALDH3A2
hs	225	ABCD2
hs	226	ALDOA
hs	228	ALDOAP2
hs	229	ALDOB
hs	230	ALDOC
hs	231	AKR1B1
hs	236	AKR1B1P2
